Year,quarter,citymarketid,strength_pax,degree,HHI_neighbors,TotalFaredPax_city,TotalPerLFMkts_city,TotalPerPrem_city,city_clean,lat,lon
2022,1,31423,2315.0,9,0.13040448945509844,386760.0,0.7922,-0.0714,"Des Moines, IA",41.5896139,-93.6163963
2022,1,31453,41818.0,53,0.037308100022470744,2101435.0,0.82155,0.0049,"Houston, TX",29.7600771,-95.3701108
2022,1,31454,75543.0,60,0.04205511747069875,7232690.0,0.9551,-0.0233,"Orlando, FL",28.5383832,-81.3789269
2022,1,31481,163.0,1,1.0,169540.0,0.8681,0.0635,"Panama City, FL",30.1588129,-85.6602058
2022,1,31503,584.0,2,0.5529238600112591,131220.0,0.0985,0.9064,"Eagle, CO",39.576406,-106.7234639
2022,1,31504,193.0,1,1.0,211490.0,0.8512,-0.0608,"Valparaiso, FL",30.5085309,-86.50272819999999
2022,1,31603,1077.0,4,0.27212613875504443,177140.0,0.6994,-0.1299,"Eugene, OR",44.052121,-123.0896705
2022,1,31624,1308.0,5,0.23035261715717908,284870.0,0.213,0.3508,"Key West, FL",24.5550593,-81.7799871
2022,1,31637,620.0,2,0.5412122788761706,136880.0,0.6611,-0.1059,"Fargo, ND",46.8771863,-96.7898034
2022,1,31638,1172.0,5,0.23679949679087697,240180.0,0.6345,-0.0368,"Fresno, CA",36.7377981,-119.7871247
2022,1,31650,33424.0,42,0.04788291309581453,3358700.0,0.768,0.0196,"Minneapolis/St. Paul, MN",44.9374831,-93.2009998
2022,1,31703,127591.0,70,0.047875599922857184,1973783.33333333,0.848399999999999,-0.0558333333333333,"New York City, NY",40.7127753,-74.0059728
2022,1,31714,27391.0,35,0.062000928173717426,2740800.0,0.9169999999999999,0.0409,"Fort Myers, FL",26.6409247,-81.8605575
2022,1,31721,950.0,4,0.25543490304709143,110080.0,0.9322,-0.414,"Flint, MI",43.0125274,-83.6874562
2022,1,31775,688.0,2,0.6108876419686318,167900.0,0.6555,-0.1376,"Sioux Falls, SD",43.5460223,-96.731265
2022,1,31823,422.0,2,0.5217425484602771,106440.0,0.6228,-0.2033,"Fort Wayne, IN",41.0794759,-85.1362929
2022,1,31834,167.0,1,1.0,168120.0,0.478,0.1336,"Fayetteville, AR",36.0618562,-94.1579584
2022,1,31871,717.0,3,0.35119405394785724,276190.0,0.5305,0.0817,"Greenville/Spartanburg, SC",34.8332582,-82.2975348
2022,1,31884,3727.0,10,0.11841687238837341,513630.0,0.6603,-0.0062,"Spokane, WA",47.6579711,-117.4235319
2022,1,31986,4594.0,14,0.0799181760995442,575320.0,0.8154,-0.0768,"Grand Rapids, MI",42.9704146,-85.6721946
2022,1,31995,447.0,1,1.0,199160.0,0.0065,0.0508,"Greensboro/High Point, NC",35.9878908,-79.9638094
2022,1,32206,604.0,3,0.3461854743213017,112520.0,0.9085,-0.1017,"Harlingen/San Benito, TX",26.132576,-97.6311006
2022,1,32211,64491.0,65,0.03078367702795544,6299930.0,0.9899999999999999,-0.0975,"Las Vegas, NV",36.171563,-115.1391009
2022,1,32244,192.0,1,1.0,,,,"New Haven, CT",41.308274,-72.9278835
2022,1,32323,238.0,1,1.0,103010.0,0.1441,0.1812,"Wilmington, NC",34.2103894,-77.8868117
2022,1,32337,12291.0,23,0.0575519885554571,1342780.0,0.7948000000000001,0.0214,"Indianapolis, IN",39.76909,-86.158018
2022,1,32441,491.0,2,0.5255536520920354,161320.0,0.0404,0.3509,"Jackson, WY",43.4799291,-110.7624282
2022,1,32448,339.0,2,0.5002131899304739,134900.0,0.8193,-0.0065,"Jackson/Vicksburg, MS",32.3522304,-90.8745758
2022,1,32457,61552.0,45,0.06602575259508674,1969430.0,0.8430000000000001,-0.0436,"San Francisco, CA",37.7749295,-122.4194155
