Year,quarter,citymarketid_1,citymarketid_2,passengers,fare,nsmiles,fare_lg,fare_low,lf_ms,large_ms,carrier_lg,carrier_low,fare_pax_wavg,city1_clean,lat1,lon1,city2_clean,lat2,lon2
2022,1,30194,30852,2400.0,208.82,1217.0,237.52,184.63,0.3227,0.4928,AA,WN,208.82,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Washington, DC",38.9072873,-77.0369274
2022,1,30194,31123,791.0,180.94,550.0,171.52,171.52,0.5222,0.5222,WN,WN,180.94,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"St. Louis, MO",38.62742799999999,-90.1982439
2022,1,30194,31136,420.0,238.83,918.0,234.88,212.74,0.073,0.8414,AA,WN,238.83,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Jacksonville, FL",30.3297566,-81.6591529
2022,1,30194,31295,852.0,235.07,986.0,241.59,239.12,0.3328,0.5736,DL,AA,235.07,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Detroit, MI",42.32971819999999,-83.0424533
2022,1,30194,31423,168.0,246.9,624.0,257.09,181.14,0.0636,0.8529,AA,UA,246.90000000000003,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Des Moines, IA",41.5896139,-93.6163963
2022,1,30194,31453,1510.0,152.88,247.0,151.13,151.13,0.5372,0.5372,WN,WN,152.88,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Houston, TX",29.7600771,-95.3701108
2022,1,30194,31454,2601.0,204.22,985.0,244.83,117.43,0.1644,0.463,AA,NK,204.22,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Orlando, FL",28.5383832,-81.3789269
2022,1,30194,31481,163.0,219.12,685.0,201.23,201.23,0.5775,0.5775,WN,WN,219.11999999999998,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Panama City, FL",30.1588129,-85.6602058
2022,1,30194,31650,955.0,208.31,853.0,212.78,207.15,0.389,0.5389,DL,AA,208.30999999999997,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Minneapolis/St. Paul, MN",44.9374831,-93.2009998
2022,1,30194,31703,3946.0,152.73,1428.0,160.73,123.45,0.1025,0.4833,AA,WN,152.73,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"New York City, NY",40.7127753,-74.0059728
2022,1,30194,31714,461.0,243.89,1017.0,248.1,210.87,0.1514,0.7979,AA,WN,243.89,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Fort Myers, FL",26.6409247,-81.8605575
2022,1,30194,31986,174.0,278.35,931.0,304.83,207.53,0.1059,0.6324,AA,WN,278.35,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Grand Rapids, MI",42.9704146,-85.6721946
2022,1,30194,32206,178.0,161.3,461.0,155.31,155.31,0.5867,0.5867,WN,WN,161.3,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Harlingen/San Benito, TX",26.132576,-97.6311006
2022,1,30194,32211,2668.0,204.75,1067.0,261.45,106.96,0.1079,0.4445,AA,F9,204.75,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Las Vegas, NV",36.171563,-115.1391009
2022,1,30194,32337,560.0,229.87,761.0,233.83,209.12,0.2194,0.7108,AA,WN,229.87,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Indianapolis, IN",39.76909,-86.158018
2022,1,30194,32457,1921.0,230.12,1476.0,246.99,194.35,0.2703,0.5597,AA,WN,230.12,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"San Francisco, CA",37.7749295,-122.4194155
2022,1,30194,32467,2342.0,212.54,1121.0,254.56,119.59,0.1778,0.5703,AA,NK,212.54,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Miami, FL",25.7616798,-80.1917902
2022,1,30194,32575,4977.0,210.83,1246.0,233.37,183.34,0.2165,0.6096,AA,WN,210.83000000000004,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Los Angeles, CA",34.0549076,-118.242643
2022,1,30194,32600,203.0,172.07,304.0,184.44,143.87,0.312,0.6798,AA,WN,172.07,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Little Rock, AR",34.7428286,-92.2762904
2022,1,30194,32896,305.0,166.81,293.0,153.35,153.35,0.7117,0.7117,WN,WN,166.81,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Lubbock, TX",33.5845235,-101.8552139
2022,1,30194,33044,279.0,222.48,733.0,240.46,161.5,0.2163,0.6942,AA,WN,222.48,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Louisville, KY",38.2468618,-85.7663724
2022,1,30194,33158,304.0,166.45,319.0,154.76,154.76,0.7082,0.7082,WN,WN,166.45,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Midland/Odessa, TX",31.8456816,-102.3676431
2022,1,30194,33192,559.0,260.9,1442.0,286.31,236.04,0.3576,0.5336,AA,WN,260.9,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Sacramento, CA",38.5781342,-121.4944209
